año,mes,pdo,fase_pdo
1953,8,-0.92,Negativa
1953,9,-1.11,Negativa
1953,10,-1.48,Negativa
1953,11,-0.51,Negativa
1953,12,-0.18,Neutro
1954,1,-1.13,Negativa
1954,2,-0.95,Negativa
1954,3,-1.15,Negativa
1954,4,-1.25,Negativa
1954,5,-0.76,Negativa
1954,6,0.49,Neutro
1954,7,-0.08,Neutro
1954,8,-0.32,Neutro
1954,9,-1.05,Negativa
1954,10,0.02,Neutro
1954,11,0.85,Positiva
1954,12,0.49,Neutro
1955,1,-0.23,Neutro
1955,2,-1.01,Negativa
1955,3,-1.24,Negativa
1955,4,-2.21,Negativa
1955,5,-1.89,Negativa
1955,6,-2.18,Negativa
1955,7,-2.75,Negativa
1955,8,-2.66,Negativa
1955,9,-2.48,Negativa
1955,10,-3.35,Negativa
1955,11,-2.63,Negativa
1955,12,-2.2,Negativa
1956,1,-2.26,Negativa
1956,2,-2.28,Negativa
1956,3,-2.93,Negativa
1956,4,-2.55,Negativa
1956,5,-1.62,Negativa
1956,6,-1.98,Negativa
1956,7,-1.48,Negativa
1956,8,-1.0,Negativa
1956,9,-0.28,Neutro
1956,10,-1.66,Negativa
1956,11,-2.44,Negativa
1956,12,-1.27,Negativa
1957,1,-1.31,Negativa
1957,2,-1.57,Negativa
1957,3,-0.83,Negativa
1957,4,-0.81,Negativa
1957,5,-0.02,Neutro
1957,6,1.53,Positiva
1957,7,0.59,Positiva
1957,8,0.34,Neutro
1957,9,1.84,Positiva
1957,10,1.72,Positiva
1957,11,1.54,Positiva
1957,12,0.46,Neutro
1958,1,0.83,Positiva
1958,2,0.94,Positiva
1958,3,0.62,Positiva
1958,4,0.56,Positiva
1958,5,1.46,Positiva
1958,6,1.82,Positiva
1958,7,0.61,Positiva
1958,8,1.06,Positiva
1958,9,0.77,Positiva
1958,10,0.28,Neutro
1958,11,0.28,Neutro
1958,12,1.14,Positiva
1959,1,1.04,Positiva
1959,2,0.35,Neutro
1959,3,-0.14,Neutro
1959,4,-0.16,Neutro
1959,5,-0.13,Neutro
1959,6,0.23,Neutro
1959,7,-0.42,Neutro
1959,8,-0.31,Neutro
1959,9,-0.53,Negativa
1959,10,0.96,Positiva
1959,11,1.38,Positiva
1959,12,1.02,Positiva
1960,1,0.24,Neutro
1960,2,0.61,Positiva
1960,3,0.23,Neutro
1960,4,0.21,Neutro
1960,5,0.35,Neutro
1960,6,1.2,Positiva
1960,7,-0.42,Neutro
1960,8,-0.31,Neutro
1960,9,-0.96,Negativa
1960,10,-0.34,Neutro
1960,11,-0.34,Neutro
1960,12,0.0,Neutro
1961,1,0.89,Positiva
1961,2,0.92,Positiva
1961,3,0.64,Positiva
1961,4,0.28,Neutro
1961,5,-0.54,Negativa
1961,6,-0.7,Negativa
1961,7,-1.23,Negativa
1961,8,-0.87,Negativa
1961,9,-1.34,Negativa
1961,10,-1.78,Negativa
1961,11,-1.43,Negativa
1961,12,-1.73,Negativa
1962,1,-1.0,Negativa
1962,2,-0.87,Negativa
1962,3,-1.06,Negativa
1962,4,-0.95,Negativa
1962,5,-1.3,Negativa
1962,6,-1.71,Negativa
1962,7,-1.83,Negativa
1962,8,-0.66,Negativa
1962,9,-1.47,Negativa
1962,10,-1.76,Negativa
1962,11,-0.38,Neutro
1962,12,-0.23,Neutro
1963,1,0.12,Neutro
1963,2,0.15,Neutro
1963,3,-0.28,Neutro
1963,4,-0.27,Neutro
1963,5,-1.26,Negativa
1963,6,-0.6,Negativa
1963,7,-1.11,Negativa
1963,8,-1.01,Negativa
1963,9,1.08,Positiva
1963,10,0.34,Neutro
1963,11,-0.5,Neutro
1963,12,0.45,Neutro
1964,1,0.34,Neutro
1964,2,0.21,Neutro
1964,3,-0.71,Negativa
1964,4,-1.27,Negativa
1964,5,-2.39,Negativa
1964,6,-0.86,Negativa
1964,7,-1.08,Negativa
1964,8,-1.6,Negativa
1964,9,-1.35,Negativa
1964,10,-0.64,Negativa
1964,11,-0.68,Negativa
1964,12,-0.62,Negativa
1965,1,-0.95,Negativa
1965,2,-0.61,Negativa
1965,3,-0.17,Neutro
1965,4,-0.01,Neutro
1965,5,-0.66,Negativa
1965,6,-0.76,Negativa
1965,7,-0.74,Negativa
1965,8,0.32,Neutro
1965,9,0.83,Positiva
1965,10,0.3,Neutro
1965,11,0.47,Neutro
1965,12,0.25,Neutro
1966,1,-0.67,Negativa
1966,2,-0.43,Neutro
1966,3,-1.0,Negativa
1966,4,-0.37,Neutro
1966,5,-0.76,Negativa
1966,6,0.1,Neutro
1966,7,0.01,Neutro
1966,8,-0.29,Neutro
1966,9,-0.35,Neutro
1966,10,-0.6,Negativa
1966,11,-0.71,Negativa
1966,12,-0.21,Neutro
1967,1,-0.24,Neutro
1967,2,-0.25,Neutro
1967,3,-0.8,Negativa
1967,4,-1.13,Negativa
1967,5,-1.54,Negativa
1967,6,-1.2,Negativa
1967,7,-1.21,Negativa
1967,8,-1.55,Negativa
1967,9,-0.6,Negativa
1967,10,-0.06,Neutro
1967,11,0.36,Neutro
1967,12,-0.68,Negativa
1968,1,-0.65,Negativa
1968,2,-0.19,Neutro
1968,3,0.08,Neutro
1968,4,-0.69,Negativa
1968,5,-0.79,Negativa
1968,6,0.14,Neutro
1968,7,0.44,Neutro
1968,8,-0.01,Neutro
1968,9,0.26,Neutro
1968,10,-0.18,Neutro
1968,11,0.03,Neutro
1968,12,-0.29,Neutro
1969,1,-0.71,Negativa
1969,2,-1.22,Negativa
1969,3,-1.21,Negativa
1969,4,-1.07,Negativa
1969,5,-1.06,Negativa
1969,6,0.84,Positiva
1969,7,-0.37,Neutro
1969,8,-0.92,Negativa
1969,9,-1.07,Negativa
1969,10,0.95,Positiva
1969,11,0.58,Positiva
1969,12,1.13,Positiva
1970,1,1.06,Positiva
1970,2,1.01,Positiva
1970,3,1.2,Positiva
1970,4,0.31,Neutro
1970,5,-0.89,Negativa
1970,6,-0.12,Neutro
1970,7,-0.92,Negativa
1970,8,-1.79,Negativa
1970,9,-1.68,Negativa
1970,10,-1.2,Negativa
1970,11,-0.92,Negativa
1970,12,-0.91,Negativa
1971,1,-1.34,Negativa
1971,2,-1.45,Negativa
1971,3,-1.55,Negativa
1971,4,-1.7,Negativa
1971,5,-1.75,Negativa
1971,6,-1.86,Negativa
1971,7,-2.25,Negativa
1971,8,-0.32,Neutro
1971,9,-0.17,Neutro
1971,10,-0.35,Neutro
1971,11,-1.28,Negativa
1971,12,-1.77,Negativa
1972,1,-2.12,Negativa
1972,2,-1.95,Negativa
1972,3,-1.53,Negativa
1972,4,-1.7,Negativa
1972,5,-2.16,Negativa
1972,6,-1.84,Negativa
1972,7,-1.48,Negativa
1972,8,-0.11,Neutro
1972,9,-0.2,Neutro
1972,10,-0.22,Neutro
1972,11,-0.05,Neutro
1972,12,-0.37,Neutro
1973,1,-0.15,Neutro
1973,2,-0.55,Negativa
1973,3,-0.88,Negativa
1973,4,-1.35,Negativa
1973,5,-1.59,Negativa
1973,6,-1.44,Negativa
1973,7,-1.4,Negativa
1973,8,-1.56,Negativa
1973,9,-1.05,Negativa
1973,10,-1.36,Negativa
1973,11,-1.42,Negativa
1973,12,-0.89,Negativa
1974,1,-0.86,Negativa
1974,2,-1.38,Negativa
1974,3,-1.21,Negativa
1974,4,-0.62,Negativa
1974,5,-0.72,Negativa
1974,6,-0.37,Neutro
1974,7,0.02,Neutro
1974,8,-0.27,Neutro
1974,9,0.71,Positiva
1974,10,0.19,Neutro
1974,11,0.61,Positiva
1974,12,0.27,Neutro
1975,1,-0.65,Negativa
1975,2,-0.93,Negativa
1975,3,-1.07,Negativa
1975,4,-1.79,Negativa
1975,5,-2.08,Negativa
1975,6,-1.61,Negativa
1975,7,-0.84,Negativa
1975,8,-1.56,Negativa
1975,9,-1.6,Negativa
1975,10,-1.59,Negativa
1975,11,-1.73,Negativa
1975,12,-1.49,Negativa
1976,1,-1.08,Negativa
1976,2,-1.01,Negativa
1976,3,-1.31,Negativa
1976,4,-1.38,Negativa
1976,5,-1.23,Negativa
1976,6,-1.26,Negativa
1976,7,0.28,Neutro
1976,8,0.97,Positiva
1976,9,0.58,Positiva
1976,10,1.12,Positiva
1976,11,1.33,Positiva
1976,12,1.2,Positiva
1977,1,1.24,Positiva
1977,2,1.51,Positiva
1977,3,0.62,Positiva
1977,4,-0.25,Neutro
1977,5,-0.47,Neutro
1977,6,0.03,Neutro
1977,7,-0.06,Neutro
1977,8,-0.09,Neutro
1977,9,-0.64,Negativa
1977,10,-0.84,Negativa
1977,11,-0.45,Neutro
1977,12,-0.06,Neutro
1978,1,0.58,Positiva
1978,2,0.78,Positiva
1978,3,1.13,Positiva
1978,4,1.03,Positiva
1978,5,0.77,Positiva
1978,6,0.33,Neutro
1978,7,-1.62,Negativa
1978,8,-0.91,Negativa
1978,9,-0.78,Negativa
1978,10,0.07,Neutro
1978,11,-0.01,Neutro
1978,12,-0.51,Negativa
1979,1,-0.38,Neutro
1979,2,-1.29,Negativa
1979,3,-0.68,Negativa
1979,4,-0.12,Neutro
1979,5,0.57,Positiva
1979,6,0.22,Neutro
1979,7,0.3,Neutro
1979,8,0.05,Neutro
1979,9,0.88,Positiva
1979,10,1.1,Positiva
1979,11,0.58,Positiva
1979,12,0.06,Neutro
1980,1,0.06,Neutro
1980,2,0.58,Positiva
1980,3,0.62,Positiva
1980,4,0.78,Positiva
1980,5,0.64,Positiva
1980,6,-0.72,Negativa
1980,7,-0.21,Neutro
1980,8,0.08,Neutro
1980,9,-0.13,Neutro
1980,10,0.99,Positiva
1980,11,0.71,Positiva
1980,12,0.3,Neutro
1981,1,1.18,Positiva
1981,2,1.24,Positiva
1981,3,1.22,Positiva
1981,4,1.07,Positiva
1981,5,1.29,Positiva
1981,6,1.82,Positiva
1981,7,0.82,Positiva
1981,8,-0.05,Neutro
1981,9,0.43,Neutro
1981,10,-0.09,Neutro
1981,11,0.54,Positiva
1981,12,0.59,Positiva
1982,1,0.11,Neutro
1982,2,-0.19,Neutro
1982,3,-0.37,Neutro
1982,4,-0.7,Negativa
1982,5,-1.21,Negativa
1982,6,-0.99,Negativa
1982,7,0.12,Neutro
1982,8,-0.08,Neutro
1982,9,0.51,Positiva
1982,10,0.15,Neutro
1982,11,-0.6,Negativa
1982,12,0.16,Neutro
1983,1,0.4,Neutro
1983,2,0.97,Positiva
1983,3,1.73,Positiva
1983,4,1.26,Positiva
1983,5,1.01,Positiva
1983,6,1.9,Positiva
1983,7,2.47,Positiva
1983,8,1.18,Positiva
1983,9,0.47,Neutro
1983,10,0.68,Positiva
1983,11,1.19,Positiva
1983,12,1.72,Positiva
1984,1,1.42,Positiva
1984,2,1.23,Positiva
1984,3,1.56,Positiva
1984,4,1.0,Positiva
1984,5,0.87,Positiva
1984,6,-0.13,Neutro
1984,7,-0.35,Neutro
1984,8,0.01,Neutro
1984,9,0.18,Neutro
1984,10,0.43,Neutro
1984,11,0.54,Positiva
1984,12,0.48,Neutro
1985,1,0.87,Positiva
1985,2,0.48,Neutro
1985,3,-0.34,Neutro
1985,4,-0.52,Negativa
1985,5,-0.87,Negativa
1985,6,0.04,Neutro
1985,7,0.52,Positiva
1985,8,0.19,Neutro
1985,9,0.13,Neutro
1985,10,0.14,Neutro
1985,11,-0.65,Negativa
1985,12,0.33,Neutro
1986,1,1.04,Positiva
1986,2,1.47,Positiva
1986,3,1.68,Positiva
1986,4,1.21,Positiva
1986,5,0.85,Positiva
1986,6,0.62,Positiva
1986,7,1.05,Positiva
1986,8,-0.19,Neutro
1986,9,-0.03,Neutro
1986,10,1.0,Positiva
1986,11,1.68,Positiva
1986,12,1.71,Positiva
1987,1,1.47,Positiva
1987,2,1.46,Positiva
1987,3,1.35,Positiva
1987,4,1.38,Positiva
1987,5,0.82,Positiva
1987,6,0.05,Neutro
1987,7,1.38,Positiva
1987,8,1.74,Positiva
1987,9,1.44,Positiva
1987,10,0.68,Positiva
1987,11,0.93,Positiva
1987,12,0.94,Positiva
1988,1,0.23,Neutro
1988,2,0.47,Neutro
1988,3,0.49,Neutro
1988,4,0.34,Neutro
1988,5,0.37,Neutro
1988,6,0.21,Neutro
1988,7,-0.15,Neutro
1988,8,-0.88,Negativa
1988,9,-0.98,Negativa
1988,10,-0.36,Neutro
1988,11,-0.06,Neutro
1988,12,-0.14,Neutro
1989,1,-1.24,Negativa
1989,2,-1.45,Negativa
1989,3,-1.24,Negativa
1989,4,-0.32,Neutro
1989,5,-0.09,Neutro
1989,6,0.11,Neutro
1989,7,0.56,Positiva
1989,8,-0.44,Neutro
1989,9,-0.57,Negativa
1989,10,-0.51,Negativa
1989,11,-0.76,Negativa
1989,12,-0.1,Neutro
1990,1,-0.42,Neutro
1990,2,-1.28,Negativa
1990,3,-1.24,Negativa
1990,4,-0.15,Neutro
1990,5,-0.32,Neutro
1990,6,-0.25,Neutro
1990,7,-0.31,Neutro
1990,8,-0.43,Neutro
1990,9,-0.26,Neutro
1990,10,-1.16,Negativa
1990,11,-1.88,Negativa
1990,12,-2.22,Negativa
1991,1,-1.8,Negativa
1991,2,-1.09,Negativa
1991,3,-1.11,Negativa
1991,4,-1.63,Negativa
1991,5,-1.65,Negativa
1991,6,-2.25,Negativa
1991,7,-1.57,Negativa
1991,8,-0.58,Negativa
1991,9,0.37,Neutro
1991,10,0.41,Neutro
1991,11,0.56,Positiva
1991,12,-0.21,Neutro
1992,1,0.08,Neutro
1992,2,0.17,Neutro
1992,3,0.12,Neutro
1992,4,0.55,Positiva
1992,5,1.26,Positiva
1992,6,1.22,Positiva
1992,7,1.5,Positiva
1992,8,0.85,Positiva
1992,9,0.45,Neutro
1992,10,1.28,Positiva
1992,11,1.31,Positiva
1992,12,0.33,Neutro
1993,1,-0.28,Neutro
1993,2,0.02,Neutro
1993,3,0.24,Neutro
1993,4,1.0,Positiva
1993,5,1.79,Positiva
1993,6,2.05,Positiva
1993,7,1.48,Positiva
1993,8,1.96,Positiva
1993,9,1.15,Positiva
1993,10,1.31,Positiva
1993,11,1.13,Positiva
1993,12,0.67,Positiva
1994,1,0.85,Positiva
1994,2,0.33,Neutro
1994,3,0.27,Neutro
1994,4,0.49,Neutro
1994,5,0.55,Positiva
1994,6,0.1,Neutro
1994,7,-0.91,Negativa
1994,8,-0.88,Negativa
1994,9,-1.51,Negativa
1994,10,-1.06,Negativa
1994,11,-1.93,Negativa
1994,12,-2.22,Negativa
1995,1,-0.86,Negativa
1995,2,0.02,Neutro
1995,3,0.46,Neutro
1995,4,0.49,Neutro
1995,5,0.89,Positiva
1995,6,1.03,Positiva
1995,7,1.0,Positiva
1995,8,-0.11,Neutro
1995,9,1.22,Positiva
1995,10,0.64,Positiva
1995,11,0.05,Neutro
1995,12,0.44,Neutro
1996,1,1.01,Positiva
1996,2,1.01,Positiva
1996,3,0.85,Positiva
1996,4,1.37,Positiva
1996,5,2.13,Positiva
1996,6,1.1,Positiva
1996,7,0.57,Positiva
1996,8,-0.66,Negativa
1996,9,0.07,Neutro
1996,10,0.4,Neutro
1996,11,0.38,Neutro
1996,12,-0.03,Neutro
1997,1,0.44,Neutro
1997,2,0.29,Neutro
1997,3,0.39,Neutro
1997,4,0.73,Positiva
1997,5,1.59,Positiva
1997,6,2.55,Positiva
1997,7,1.49,Positiva
1997,8,2.27,Positiva
1997,9,1.8,Positiva
1997,10,1.78,Positiva
1997,11,1.48,Positiva
1997,12,0.99,Positiva
1998,1,1.05,Positiva
1998,2,1.52,Positiva
1998,3,1.29,Positiva
1998,4,0.03,Neutro
1998,5,-0.83,Negativa
1998,6,-0.78,Negativa
1998,7,-1.16,Negativa
1998,8,-0.87,Negativa
1998,9,-1.7,Negativa
1998,10,-2.23,Negativa
1998,11,-0.97,Negativa
1998,12,-1.09,Negativa
1999,1,-0.78,Negativa
1999,2,-1.06,Negativa
1999,3,-1.18,Negativa
1999,4,-1.85,Negativa
1999,5,-2.32,Negativa
1999,6,-2.34,Negativa
1999,7,-1.87,Negativa
1999,8,-1.84,Negativa
1999,9,-2.24,Negativa
1999,10,-2.54,Negativa
1999,11,-2.18,Negativa
1999,12,-1.92,Negativa
2000,1,-2.2,Negativa
2000,2,-1.28,Negativa
2000,3,-0.66,Negativa
2000,4,-0.63,Negativa
2000,5,-0.81,Negativa
2000,6,-0.64,Negativa
2000,7,-1.51,Negativa
2000,8,-1.68,Negativa
2000,9,-1.45,Negativa
2000,10,-1.61,Negativa
2000,11,-1.04,Negativa
2000,12,0.0,Neutro
2001,1,0.48,Neutro
2001,2,-0.01,Neutro
2001,3,-0.41,Neutro
2001,4,-1.18,Negativa
2001,5,-1.12,Negativa
2001,6,-1.22,Negativa
2001,7,-2.21,Negativa
2001,8,-1.68,Negativa
2001,9,-1.98,Negativa
2001,10,-1.91,Negativa
2001,11,-1.25,Negativa
2001,12,-1.12,Negativa
2002,1,-0.42,Neutro
2002,2,-1.51,Negativa
2002,3,-1.27,Negativa
2002,4,-1.23,Negativa
2002,5,-1.3,Negativa
2002,6,-1.18,Negativa
2002,7,-0.71,Negativa
2002,8,0.11,Neutro
2002,9,-0.21,Neutro
2002,10,-0.2,Neutro
2002,11,1.08,Positiva
2002,12,1.57,Positiva
2003,1,1.45,Positiva
2003,2,1.23,Positiva
2003,3,1.01,Positiva
2003,4,0.36,Neutro
2003,5,0.21,Neutro
2003,6,-0.42,Neutro
2003,7,0.37,Neutro
2003,8,0.63,Positiva
2003,9,-0.17,Neutro
2003,10,0.74,Positiva
2003,11,-0.23,Neutro
2003,12,-0.6,Negativa
2004,1,-0.55,Negativa
2004,2,-0.21,Neutro
2004,3,-0.15,Neutro
2004,4,-0.0,Neutro
2004,5,0.61,Positiva
2004,6,-0.11,Neutro
2004,7,0.04,Neutro
2004,8,0.24,Neutro
2004,9,0.02,Neutro
2004,10,-0.72,Negativa
2004,11,-1.22,Negativa
2004,12,-0.64,Negativa
2005,1,-0.15,Neutro
2005,2,-0.01,Neutro
2005,3,0.7,Positiva
2005,4,0.28,Neutro
2005,5,1.36,Positiva
2005,6,0.85,Positiva
2005,7,0.11,Neutro
2005,8,-0.42,Neutro
2005,9,-0.99,Negativa
2005,10,-2.0,Negativa
2005,11,-1.89,Negativa
2005,12,-0.1,Neutro
2006,1,0.54,Positiva
2006,2,0.38,Neutro
2006,3,-0.74,Negativa
2006,4,-0.54,Negativa
2006,5,-0.37,Neutro
2006,6,0.21,Neutro
2006,7,0.39,Neutro
2006,8,-0.85,Negativa
2006,9,-1.54,Negativa
2006,10,-0.46,Neutro
2006,11,-0.81,Negativa
2006,12,-0.42,Neutro
2007,1,-0.69,Negativa
2007,2,-0.71,Negativa
2007,3,-1.1,Negativa
2007,4,-0.46,Neutro
2007,5,-0.29,Neutro
2007,6,-0.07,Neutro
2007,7,0.43,Neutro
2007,8,0.09,Neutro
2007,9,-0.97,Negativa
2007,10,-2.33,Negativa
2007,11,-1.46,Negativa
2007,12,-0.87,Negativa
2008,1,-1.5,Negativa
2008,2,-1.46,Negativa
2008,3,-1.26,Negativa
2008,4,-1.79,Negativa
2008,5,-1.62,Negativa
2008,6,-1.85,Negativa
2008,7,-1.96,Negativa
2008,8,-1.85,Negativa
2008,9,-1.87,Negativa
2008,10,-1.9,Negativa
2008,11,-1.59,Negativa
2008,12,-1.31,Negativa
2009,1,-1.81,Negativa
2009,2,-1.78,Negativa
2009,3,-2.06,Negativa
2009,4,-2.23,Negativa
2009,5,-1.32,Negativa
2009,6,-0.73,Negativa
2009,7,-0.71,Negativa
2009,8,-0.49,Neutro
2009,9,0.33,Neutro
2009,10,-0.13,Neutro
2009,11,-0.94,Negativa
2009,12,-0.51,Negativa
2010,1,0.05,Neutro
2010,2,0.25,Neutro
2010,3,-0.16,Neutro
2010,4,-0.04,Neutro
2010,5,-0.18,Neutro
2010,6,-0.79,Negativa
2010,7,-1.99,Negativa
2010,8,-2.21,Negativa
2010,9,-2.45,Negativa
2010,10,-1.6,Negativa
2010,11,-1.57,Negativa
2010,12,-2.04,Negativa
2011,1,-1.8,Negativa
2011,2,-1.46,Negativa
2011,3,-1.28,Negativa
2011,4,-1.02,Negativa
2011,5,-0.66,Negativa
2011,6,-1.08,Negativa
2011,7,-2.3,Negativa
2011,8,-2.37,Negativa
2011,9,-2.5,Negativa
2011,10,-1.92,Negativa
2011,11,-2.95,Negativa
2011,12,-2.4,Negativa
2012,1,-1.85,Negativa
2012,2,-1.35,Negativa
2012,3,-1.66,Negativa
2012,4,-1.01,Negativa
2012,5,-2.12,Negativa
2012,6,-1.63,Negativa
2012,7,-2.4,Negativa
2012,8,-2.6,Negativa
2012,9,-2.99,Negativa
2012,10,-1.22,Negativa
2012,11,-0.66,Negativa
2012,12,-1.31,Negativa
2013,1,-1.1,Negativa
2013,2,-1.42,Negativa
2013,3,-1.48,Negativa
2013,4,-0.72,Negativa
2013,5,-0.4,Neutro
2013,6,-1.19,Negativa
2013,7,-1.34,Negativa
2013,8,-1.56,Negativa
2013,9,-1.0,Negativa
2013,10,-1.65,Negativa
2013,11,-1.09,Negativa
2013,12,-1.04,Negativa
2014,1,-0.57,Negativa
2014,2,-0.42,Neutro
2014,3,0.3,Neutro
2014,4,0.36,Neutro
2014,5,1.27,Positiva
2014,6,-0.28,Neutro
2014,7,0.25,Neutro
2014,8,0.34,Neutro
2014,9,0.76,Positiva
2014,10,1.43,Positiva
2014,11,1.35,Positiva
2014,12,1.86,Positiva
2015,1,1.51,Positiva
2015,2,1.52,Positiva
2015,3,1.33,Positiva
2015,4,0.9,Positiva
2015,5,0.32,Neutro
2015,6,0.82,Positiva
2015,7,1.41,Positiva
2015,8,0.98,Positiva
2015,9,0.97,Positiva
2015,10,0.84,Positiva
2015,11,0.17,Neutro
2015,12,0.29,Neutro
2016,1,0.75,Positiva
2016,2,1.29,Positiva
2016,3,1.56,Positiva
2016,4,1.74,Positiva
2016,5,1.6,Positiva
2016,6,0.87,Positiva
2016,7,0.57,Positiva
2016,8,-0.63,Negativa
2016,9,-0.8,Negativa
2016,10,-0.43,Neutro
2016,11,0.96,Positiva
2016,12,0.61,Positiva
2017,1,-0.06,Neutro
2017,2,-0.02,Neutro
2017,3,0.1,Neutro
2017,4,0.56,Positiva
2017,5,0.45,Neutro
2017,6,0.33,Neutro
2017,7,-0.45,Neutro
2017,8,-0.63,Negativa
2017,9,-0.2,Neutro
2017,10,-0.68,Negativa
2017,11,-0.6,Negativa
2017,12,-0.03,Neutro
2018,1,0.38,Neutro
2018,2,-0.09,Neutro
2018,3,-0.72,Negativa
2018,4,-0.82,Negativa
2018,5,-0.47,Neutro
2018,6,-0.66,Negativa
2018,7,-0.03,Neutro
2018,8,-0.24,Neutro
2018,9,-0.35,Neutro
2018,10,-0.57,Negativa
2018,11,-0.7,Negativa
2018,12,-0.21,Neutro
2019,1,-0.34,Neutro
2019,2,-0.72,Negativa
2019,3,-0.4,Neutro
2019,4,0.09,Neutro
2019,5,0.26,Neutro
2019,6,-0.06,Neutro
2019,7,0.52,Positiva
2019,8,-0.0,Neutro
2019,9,0.13,Neutro
2019,10,-0.9,Negativa
2019,11,-0.51,Negativa
2019,12,-0.0,Neutro
2020,1,-1.41,Negativa
2020,2,-1.48,Negativa
2020,3,-1.75,Negativa
2020,4,-1.32,Negativa
2020,5,-0.52,Negativa
2020,6,-0.75,Negativa
2020,7,-0.92,Negativa
2020,8,-1.33,Negativa
2020,9,-1.04,Negativa
2020,10,-0.62,Negativa
2020,11,-1.58,Negativa
2020,12,-0.98,Negativa
2021,1,-0.61,Negativa
2021,2,-1.09,Negativa
2021,3,-1.67,Negativa
2021,4,-1.84,Negativa
2021,5,-2.04,Negativa
2021,6,-1.82,Negativa
2021,7,-2.0,Negativa
2021,8,-0.95,Negativa
2021,9,-1.96,Negativa
2021,10,-3.14,Negativa
2021,11,-2.75,Negativa
2021,12,-2.71,Negativa
2022,1,-2.4,Negativa
2022,2,-1.91,Negativa
2022,3,-1.67,Negativa
2022,4,-2.09,Negativa
2022,5,-2.23,Negativa
2022,6,-1.31,Negativa
2022,7,-2.63,Negativa
2022,8,-2.38,Negativa
2022,9,-2.28,Negativa
2022,10,-1.81,Negativa
2022,11,-2.4,Negativa
2022,12,-2.21,Negativa
2023,1,-1.24,Negativa
2023,2,-1.65,Negativa
2023,3,-2.45,Negativa
2023,4,-3.08,Negativa
2023,5,-2.41,Negativa
2023,6,-2.55,Negativa
2023,7,-2.54,Negativa
2023,8,-2.48,Negativa
2023,9,-2.99,Negativa
2023,10,-2.23,Negativa
2023,11,-1.79,Negativa
2023,12,-1.66,Negativa
2024,1,-1.57,Negativa
2024,2,-1.34,Negativa
2024,3,-1.54,Negativa
2024,4,-2.11,Negativa
2024,5,-2.98,Negativa
2024,6,-3.15,Negativa
2024,7,-3.01,Negativa
2024,8,-2.91,Negativa
2024,9,-3.56,Negativa
2024,10,-3.8,Negativa
2024,11,-3.13,Negativa
2024,12,-2.03,Negativa
2025,1,-1.29,Negativa
2025,2,-1.4,Negativa
2025,3,-1.12,Negativa
2025,4,-1.15,Negativa
2025,5,-1.66,Negativa
2025,6,-2.64,Negativa
2025,7,-4.21,Negativa
2025,8,-3.23,Negativa
2025,9,-2.31,Negativa
2025,10,-2.37,Negativa
2025,11,-1.51,Negativa
2025,12,-0.96,Negativa
2026,1,-1.24,Negativa
2026,2,-1.0,Negativa
2026,3,-1.44,Negativa
2026,4,99.99,Positiva
2026,5,99.99,Positiva
2026,6,99.99,Positiva
2026,7,99.99,Positiva
2026,8,99.99,Positiva
2026,9,99.99,Positiva
2026,10,99.99,Positiva
2026,11,99.99,Positiva
2026,12,99.99,Positiva
