comuna_id,nombre_comuna,nombre_region,total_clientes,potencia_total_kw,potencia_promedio_kw
4303,Monte Patria,Region de Coquimbo,13336,88307.98,6.621774145170965
4304,Punitagui,Region de Coquimbo,5652,50542.65,8.942436305732484
4305,Rio Hurtado,Region de Coquimbo,2538,14179.56,5.586903073286051
5101,Valparaiso,Region de Valparaiso,131009,1088307.0,8.30711630498668
5102,Casablanca,Region de Valparaiso,16292,153812.0,9.44095261478026
5103,Concon,Region de Valparaiso,29484,326413.0,11.070851987518655
5105,Puchuncavi,Region de Valparaiso,20903,166918.75,7.98539683299048
5107,Quintero,Region de Valparaiso,19101,158053.0,8.27459295324852
5109,Viña del Mar,Region de Valparaiso,169786,1317996.15,7.762690386722109
5301,Los Andes,Region de Valparaiso,30463,253582.0,8.324262219741982
5302,Calle Larga,Region de Valparaiso,6628,59175.0,8.928032589016295
5303,Rinconada,Region de Valparaiso,4867,51540.0,10.589685637970002
5304,San Esteban,Region de Valparaiso,9077,82083.0,9.042965737578495
5401,La Ligua,Region de Valparaiso,21642,149845.37,6.923822659643286
5402,Cabildo,Region de Valparaiso,8404,73366.71,8.729975011899096
5403,Papudo,Region de Valparaiso,7864,64242.08,8.169135300101729
5404,Petorca,Region de Valparaiso,5207,42513.08,8.164601497983485
5405,Zapallar,Region de Valparaiso,8181,54453.9,6.656142280894756
5501,Quillota,Region de Valparaiso,43638,363747.0,8.335556166643752
5502,Calera,Region de Valparaiso,21256,172127.0,8.097807677832142
5503,Hijuelas,Region de Valparaiso,7746,89043.0,11.495352439969016
5504,La Cruz,Region de Valparaiso,10423,88988.0,8.537657104480475
5506,Nogales,Region de Valparaiso,8699,83172.0,9.561098976893895
5601,San Antonio,Region de Valparaiso,37774,349038.39,9.240175517551755
5602,Algarrobo,Region de Valparaiso,23864,178957.0,7.499036205162588
5603,Cartagena,Region de Valparaiso,16333,119260.31,7.301800648992836
5604,El Quisco,Region de Valparaiso,19405,131159.0,6.759031177531564
5605,El Tabo,Region de Valparaiso,24316,161827.0,6.6551653232439545
5606,Santo Domingo,Region de Valparaiso,10270,109953.2,10.706251217137293
5701,San Felipe,Region de Valparaiso,33200,297656.0,8.965542168674698
5702,Catemu,Region de Valparaiso,5719,60623.0,10.600279769190418
5703,Llaillay,Region de Valparaiso,10335,102810.0,9.947750362844703
5704,Panquehue,Region de Valparaiso,2932,52010.0,17.738744884038198
5705,Putaendo,Region de Valparaiso,7240,65223.0,9.008701657458564
5706,Santa Maria,Region de Valparaiso,6548,64288.0,9.817959682345755
5801,Quilpue,Region de Valparaiso,68281,508080.3,7.441020195954951
5802,Limache,Region de Valparaiso,22761,186182.0,8.179869074293748
5803,Olmue,Region de Valparaiso,9934,80555.0,8.109019528890679
5804,Villa Alemana,Region de Valparaiso,57258,402167.0,7.023769604247441
