"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Franc","340","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Sauvignon","330","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Cabernet Sauvignon","1433","24","","","Con contrato en cuotas"
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Carignan (Cariñena)","840","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Carmenère","340","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Chardonnay (b)","340","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Chardonnay (b)","843","24","","","Con contrato en cuotas"
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Gewurstraminer","330","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","550","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot negro (Noir)","530","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Pinot negro (Noir)","843","24","","","Con contrato en cuotas"
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Sauvignon Blanc (Fumé)","330","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-11","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Syrah (Sirah)","440","23","","","Con contrato 8 cuotas."
"2020","3","2020-03-12","5","Región de Valparaíso","Panquehue","Viña Von Siebenthal ","Sn Panqueque ","Syrah (Sirah)","843","24","","","Con Contrato, condición de pago 6 cuotas."
"2020","3","2020-03-11","7","Región del Maule","Molina","Vinícola Patacon","Avn.Oscar Commentz #117","Cabernet Sauvignon","176","18","","","Con contrato"
"2020","3","2020-03-11","7","Región del Maule","Molina","Vinícola Patacon","Avn.Oscar Commentz #117","Chardonnay (b)","190","18","","","Con contrato"
"2020","3","2020-03-11","7","Región del Maule","Sagrada Familia","RR Wine ","Fundo El Sanatorio s/n, sector Pulmodon","Chardonnay (b)","280","22","","","Con contrato."
"2020","3","2020-03-11","7","Región del Maule","Sagrada Familia","RR Wine ","Fundo El Sanatorio s/n, sector Pulmodon","Merlot (t)","220","24","","","Con contrato."
