"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2021","3","2021-03-05","4","Región de Coquimbo","Salamanca","Vitivinicola Galvez e Hijos ","Paguesillo, parcela 30","Cabernet Franc","220","22","2021-03-12","220","pago al contado a partir de 22 °brix "
"2021","3","2021-03-05","4","Región de Coquimbo","Salamanca","Vitivinicola Galvez e Hijos ","Paguesillo, parcela 30","Carmenère","300","22","2021-03-12","300","pago  al  contado  a partir de 22°  brix "
"2021","3","2021-03-05","4","Región de Coquimbo","Salamanca","Vitivinicola Galvez e Hijos ","Paguesillo, parcela 30","Merlot (t)","220","22","2021-03-12","220","grados alcohólicos  12,5"
"2021","3","2021-03-05","4","Región de Coquimbo","Salamanca","Vitivinicola Galvez e Hijos ","Paguesillo, parcela 30","Moscatel rosada","230","22","2021-03-12","230","pago al contado a partir  de 22 °brix 7"
"2021","3","2021-03-05","4","Región de Coquimbo","Salamanca","Vitivinicola Galvez e Hijos ","Paguesillo, parcela 30","Petit Verdot","300","22","2021-03-12","300","grados Alcohólicos  13"
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Cabernet Franc","467","24","2021-03-18","467","pago al contado a partir de 24° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Cabernet Sauvignon","430","24","2021-03-18","430","pago al contado a partir de 24° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Carmenère","467","24","2021-03-25","467","pago contado a partir de 24° brix"
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Chardonnay (b)","467","23","2021-03-18","467","pago al contado a partir de 23° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Malbec","467","24","2021-03-25","467","pago al contado a partir de 24° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Merlot (t)","467","24","2021-03-18","467","pago al contado a partir de 24° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Pinot Meunier","502","24","2021-03-25","502","pago al contado a partir de 24 ° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Sauvignon Blanc (Fumé)","467","23","2021-03-18","467","pago al contado a partir de 23° brix "
"2021","3","2021-03-11","4","Región de Coquimbo","Andacollo","Bodega de vino Nueva Aurora","Ruta 68 Km 64","Syrah (Sirah)","467","24","2021-03-25","467","pago contado a partir de 24°brix"
