"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Carmenère","367","13","2024-03-14","367","precio promedio "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Carmenère","200","12","2024-03-14","200","precio mínimo sin grado "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cesar N","411","13","2024-03-13","411","precio promedio con grados brix"
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cesar N","271","12","2024-03-13","271","precio mínimo sin grados brix"
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Chardonnay (b)","417","13","2024-03-15","417","promedio con grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Chardonnay (b)","210","12","2024-03-15","210","precio mínimo sin grados "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Gewurstraminer","407","13","2024-03-13","407","precio promedio con grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Gewurstraminer","317","12","2024-03-13","317","precio mínimo sin grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Malbec","372","13","2024-03-13","372","precio promedio con grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Malbec","200","12","2024-03-13","200","precio mínimo sin grados brix"
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Marsanne","500","13","2024-03-13","500","precio máximo con grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","361","13","2024-03-13","361","precio promedio con grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","271","12","2024-03-13","271","precio mínimo sin grados brix "
"2024","3","2024-03-12","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot Gris","317","13","2024-03-13","317","precio corrido"
