"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Franc","522","23","2022-03-23","522","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Sauvignon","614","24","2022-03-23","614","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Carmenère","589","22","2022-03-17","589","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Chardonnay (b)","520","22","2022-03-17","520","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Gewurstraminer","660","22","2022-03-17","660","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Malbec","466","23","2022-03-17","466","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Marselan","626","23","2022-03-17","626","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","446","24","2022-03-17","446","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","San Felipe","Viña El Almendral","Camino a la Troya 300, sector Almendral","Moscatel de Alejandría","300","23","2022-03-22","300","sin contrato, de la zona"
"2022","3","2022-03-15","5","Región de Valparaíso","San Felipe","Viña El Almendral","Camino a la Troya 300, sector Almendral","Moscatel rosada","250","24","2022-03-22","250","sin contrato, compra en la zona"
"2022","3","2022-03-15","5","Región de Valparaíso","San Felipe","Viña Mendoza","  Cerro Yevide Norte 613 El Almendral","Moscatel Rosada (Pastilla)","300","23","2022-03-22","300","sin contrato"
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Petit Verdot","738","24","2022-03-17","738","precio más IVA "
"2022","3","2022-03-15","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot negro (Noir)","673","24","2022-03-17","673","precio más IVA "
