"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2023","3","2023-03-08","4","Región de Coquimbo","Ovalle","Corretaje Torres","Camino A La Chimba S/N","Moscatel de Alejandría","170","12","","","corretajes torres pagara de 170 a 200 pesos segun grado, 170. pagaderos por kilo y si hay mas grado se pagara a fines de cosecha"
"2023","3","2023-03-08","4","Región de Coquimbo","Ovalle","Corretaje Torres","Camino A La Chimba S/N","Moscatel de Austria","170","12","","","corretajes torres pagara 170 pesos por kg, si hay mas grados pagara hata 200, al final de cosecha"
"2023","3","2023-03-08","4","Región de Coquimbo","Ovalle","Corretaje Torres","Camino A La Chimba S/N","Moscatel rosada","170","12","","","corretaje torres pagara 170 pesos y si hay mas grados se pagara hasta 200 segun grado despues de cosecha"
"2023","3","2023-03-02","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Franc","419","13","2023-03-16","419","valor estimado con dolar a $800 contratos fijados entre Septiembre -Noviembre 2022 por lo que el valor mercado de estas mismas variedades en la actualidad  puede variar se estima que a la baja "
"2023","3","2023-03-02","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Sauvignon","580","13","2023-03-16","580","valor estimado con dolar a $800 contratos fijados entre Septiembre -Noviembre 2022 por lo que el valor mercado de estas mismas variedades en la actualidad  puede variar se estima que a la baja "
"2023","3","2023-03-02","5","Región de Valparaíso","Santa María","Flaherty wines Ltda.","Uribe 956, Santa María","Carmenère","540","24","2023-03-09","540","con contrato, sector  compra Panquehue"
"2023","3","2023-03-02","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Chardonnay (b)","545","12","2023-03-16","545","valor estimado con dolar a $800 contratos fijados entre Septiembre -Noviembre 2022 por lo que el valor mercado de estas mismas variedades en la actualidad  puede variar se estima que a la baja "
"2023","3","2023-03-02","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Malbec","442","13","2023-03-16","442","valor estimado con dolar a $800 contratos fijados entre Septiembre -Noviembre 2022 por lo que el valor mercado de estas mismas variedades en la actualidad  puede variar se estima que a la baja "
"2023","3","2023-03-02","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","338","13","2023-03-16","338","valor estimado con dolar a $800 contratos fijados entre Septiembre -Noviembre 2022 por lo que el valor mercado de estas mismas variedades en la actualidad  puede variar se estima que a la baja "
"2023","3","2023-03-02","5","Región de Valparaíso","San Felipe","Viña El Almendral","Camino a la Troya 300, sector Almendral","Moscatel de Alejandría","200","23","2023-03-09","200","sin contrato, San Felipe"
