"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2026","4","2026-04-07","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Chardonnay (b)","370","20","2026-04-15","370",""
"2026","4","2026-04-07","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Pinot negro (Noir)","330","23","2026-04-14","330",""
"2026","4","2026-04-07","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Pinot negro (Noir)","320","20","2026-04-14","320",""
"2026","4","2026-04-07","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Sauvignon Blanc (Fumé)","400","22","2026-04-15","400","según frescura ."
"2026","4","2026-04-07","5","Región de Valparaíso","Casablanca","Viña Veramonte","Ruta 68, kilómetro 66","Syrah (Sirah)","290","24","2026-04-14","290",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Franc","426","23","2026-04-17","426",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Sauvignon","500","23","2026-04-17","500",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Carmenère","435","23","2026-04-17","435",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Chardonnay (b)","500","22","2026-04-17","500",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Gewurstraminer","342","23","2026-04-17","342",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Malbec","480","23","2026-04-17","480",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","437","23","2026-04-17","437",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot Gris","342","22","2026-04-17","342",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot negro (Noir)","500","22","2026-04-17","500",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Riesling","497","20","2026-04-17","497",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Sauvignon Blanc (Fumé)","500","20","2026-04-17","500",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Sauvignon Vert (Friulano)","327","20","2026-04-17","327",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Syrah (Sirah)","426","23","2026-04-17","426",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Tintoreras","300","23","2026-04-17","300",""
"2026","4","2026-04-10","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Viognier","342","23","2026-04-17","342",""
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Macaya y Waak Limitada","Camino Santa Cruz 0400","Cabernet Sauvignon","270","18","2026-04-11","250","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Cabernet Sauvignon","250","12","2026-04-11","260","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Carmenère","250","12","2026-04-11","230","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Chardonnay (b)","300","12","2026-04-11","270","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Malbec","300","12","2026-04-11","250","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Malbec","270","12","2026-04-11","250","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Merlot (t)","270","12","2026-04-11","250","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","Chimbarongo","Viña Cono Sur ","Pisagua 312","Merlot (t)","270","12","2026-04-11","250","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Merlot (t)","250","12","2026-04-11","240","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Pinot negro (Noir)","300","12","2026-04-11","270","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Sauvignon Blanc (Fumé)","300","12","2026-04-11","270","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Vina Koyle ","Fundo Angostura s/n, Los Lingues","Sauvignon Blanc (Fumé)","250","12","2026-04-11","230",""
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","Chimbarongo","Viña Cono Sur ","Pisagua 312","Sauvignon Blanc (Fumé)","300","12","2026-04-11","270","con contrato "
"2026","4","2026-04-10","6","Región del Libertador Bernardo O'Higgins","San Fernando","Terra Pura","Los Lingues s/n, Lote 1B","Syrah (Sirah)","270","12","2026-04-11","250","con contrato "
"2026","3","2026-03-04","7","Región del Maule","Molina","Vinícola Patacon","Avn.Oscar Commentz #117","Cabernet Sauvignon","220","12","","","Precios en predio, con contrato en 4 a 8 cuotas."
